epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
92,1429.31,1.08994,0.95892,1.5315,0.03247,0.81606,0.69286,0.78347,0.54287,1.09765,0.97063,1.45831,0.01605,0.0016877,0.0016877,0.0016877
93,1444.91,1.06044,0.88345,1.48463,0.03013,0.84492,0.68152,0.79787,0.57388,1.0509,0.91917,1.42063,0.01402,0.0016812,0.0016812,0.0016812
94,1460.26,1.06906,0.93914,1.50932,0.03108,0.82135,0.69483,0.7911,0.56675,1.06209,0.93891,1.47177,0.01524,0.00167464,0.00167464,0.00167464
95,1475.91,1.08566,0.94973,1.5132,0.03235,0.84362,0.69058,0.80247,0.57083,1.05859,0.94174,1.43485,0.01495,0.00166802,0.00166802,0.00166802
96,1492.08,1.04098,0.89577,1.47839,0.02817,0.8568,0.67793,0.79817,0.57608,1.03713,0.93526,1.44492,0.01405,0.00166136,0.00166136,0.00166136
97,1507.89,1.0455,0.90979,1.4771,0.02996,0.84737,0.68793,0.80067,0.58625,1.02102,0.88638,1.41973,0.01331,0.00165464,0.00165464,0.00165464
98,1524.86,1.06932,0.90752,1.48645,0.03342,0.85417,0.68152,0.79172,0.55831,1.0429,0.9299,1.43155,0.01472,0.00164787,0.00164787,0.00164787
99,1540.35,1.04848,0.89492,1.48053,0.02977,0.85578,0.68666,0.80158,0.57891,1.03016,0.90877,1.42543,0.01495,0.00164105,0.00164105,0.00164105
100,1555.96,1.01816,0.87246,1.45122,0.0288,0.84797,0.67691,0.78629,0.57105,1.0253,0.93053,1.40944,0.01539,0.00163418,0.00163418,0.00163418
101,1571.42,1.04524,0.90963,1.48662,0.03027,0.8453,0.69841,0.80546,0.57409,1.03883,0.88994,1.41731,0.01513,0.00162725,0.00162725,0.00162725
102,1587.08,1.03557,0.87402,1.47737,0.02803,0.86237,0.70302,0.81093,0.58266,1.02899,0.88435,1.40645,0.01459,0.00162028,0.00162028,0.00162028
103,1602.59,1.04282,0.89912,1.48382,0.03048,0.83505,0.69073,0.80108,0.57779,1.04268,0.89822,1.43255,0.01526,0.00161326,0.00161326,0.00161326
104,1617.79,1.05343,0.91955,1.47753,0.02942,0.86422,0.681,0.81184,0.58314,1.06924,0.91924,1.43454,0.01512,0.00160619,0.00160619,0.00160619
105,1633.15,1.02575,0.84406,1.47029,0.02783,0.85274,0.68203,0.80003,0.58422,1.03473,0.91232,1.41257,0.01448,0.00159907,0.00159907,0.00159907
106,1648.54,1.02746,0.88852,1.47307,0.02633,0.86975,0.68725,0.81509,0.58957,1.01677,0.87016,1.42053,0.01291,0.00159191,0.00159191,0.00159191
107,1664.18,1.03768,0.86785,1.45764,0.02879,0.83203,0.70353,0.8045,0.57788,1.03565,0.9054,1.40644,0.0152,0.00158469,0.00158469,0.00158469
108,1679.61,1.04227,0.87761,1.47281,0.03094,0.83894,0.69739,0.80699,0.58315,1.01948,0.89567,1.40354,0.01349,0.00157744,0.00157744,0.00157744
109,1695.05,1.03194,0.86073,1.47668,0.02696,0.86266,0.70046,0.81283,0.59089,1.02022,0.88463,1.41142,0.01311,0.00157013,0.00157013,0.00157013
110,1710.08,1.03973,0.87286,1.46379,0.02778,0.8283,0.71121,0.80694,0.57822,1.027,0.87902,1.39666,0.01419,0.00156278,0.00156278,0.00156278
111,1725.25,1.01452,0.84739,1.44702,0.0272,0.86394,0.6938,0.81746,0.5842,1.03447,0.88306,1.41535,0.01275,0.00155539,0.00155539,0.00155539
112,1740.3,1.0177,0.8368,1.46736,0.02851,0.85133,0.69995,0.81608,0.59864,0.99765,0.87113,1.3894,0.01296,0.00154795,0.00154795,0.00154795
113,1755.44,1.01618,0.86454,1.43649,0.02735,0.88025,0.68664,0.81401,0.58278,1.03198,0.88478,1.40251,0.01354,0.00154047,0.00154047,0.00154047
114,1770.58,1.01052,0.85143,1.44742,0.0273,0.80352,0.72248,0.80941,0.58735,1.0256,0.87975,1.39964,0.01428,0.00153294,0.00153294,0.00153294
115,1785.69,1.01876,0.84298,1.4523,0.02957,0.8425,0.71211,0.81298,0.58943,1.01137,0.87341,1.40087,0.01288,0.00152538,0.00152538,0.00152538
116,1800.63,1.01434,0.85188,1.44799,0.02726,0.87284,0.69238,0.81571,0.58063,1.03016,0.87516,1.39418,0.01475,0.00151777,0.00151777,0.00151777
117,1815.7,1.01425,0.84841,1.45598,0.02659,0.82428,0.71531,0.81799,0.58918,1.04628,0.891,1.43372,0.01374,0.00151012,0.00151012,0.00151012
118,1830.77,0.99515,0.8173,1.44279,0.02665,0.83233,0.73204,0.82374,0.60134,0.99687,0.83816,1.39378,0.01284,0.00150243,0.00150243,0.00150243
119,1846.02,0.9659,0.82517,1.41331,0.02562,0.84682,0.70481,0.81819,0.59699,1.00501,0.85927,1.39961,0.01296,0.0014947,0.0014947,0.0014947
120,1861.19,0.99745,0.84076,1.44831,0.02925,0.85376,0.70558,0.82061,0.59839,1.00538,0.86496,1.41423,0.0127,0.00148694,0.00148694,0.00148694
121,1876.39,0.99408,0.8392,1.45894,0.02775,0.87144,0.69418,0.81561,0.59415,1.01035,0.84983,1.39471,0.01349,0.00147913,0.00147913,0.00147913
122,1891.5,0.98822,0.8285,1.43596,0.02596,0.84834,0.70747,0.81422,0.5907,1.00532,0.86027,1.3988,0.01347,0.00147129,0.00147129,0.00147129
